Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence,SourceFloor,SourceRun,DedupKey,Validation
Tile,Bathroom,Bathroom Tile Work,Installation of bathroom floor and wall tiles.,33 SF,"$2,600 per 60 SF",0.8,,4680.0,90.0,1st Floor,run_20250925_145009_527306c3,bathroom|floor|install|tile,Flooring quantity (33.0 sf) seems low for bathroom
Tile,Bathroom 1,Bathroom Tile Work,"Floor tile preparation, installation, wall tile installation, shower tile, grout installation, and tile sealing.",80 SF,"$4,100 per 80 SF",0.8,,7380.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,bathroom|floor|install|tile,OK
Plumbing,Bathroom 1,Bathroom Plumbing,"Full gut plumbing replacement for existing location, including rough plumbing, toilet installation, sink installation, shower/tub installation, supply lines, drain lines, and vent lines.",1 UNIT,"$7,700 per UNIT",0.75,,13475.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,bathroom|install|plumbing|replace,OK
Plumbing,Bathroom,Bathroom Plumbing,Full gut plumbing for existing location.,1 UNIT,"$7,700 per UNIT",0.75,,13475.0,95.0,1st Floor,run_20250925_145009_527306c3,bathroom|plumbing,OK
Electrical,Bedroom,Bedroom Electrical,"Installation of outlets, switches, and light fixtures.",50 SF,$17 per SF,0.75,,893.75,90.0,1st Floor,run_20250925_145009_527306c3,bedroom|electrical|install,OK
Second Floor Renovation,Second Floor,Change Bedroom Layout,Change the layout of the two bedrooms.,2 UNIT,"$2,500 per UNIT",0.75,,8750.0,85.0,1st Floor,run_20250925_145009_527306c3,bedroom|floor,OK
Second Floor Renovation,Second Floor,Change Bedroom Layout,Change the layout of the two bedrooms.,2 UNIT,"$2,500 per UNIT",0.75,,8750.0,85.0,Basement,run_20250925_145729_81f4e438,bedroom|floor,OK
Flooring,Bedroom,Bedroom Flooring,Installation of new hardwood flooring.,50 SF,$6 per SF,0.75,,525.0,90.0,1st Floor,run_20250925_145009_527306c3,bedroom|floor|flooring|install,OK
Demolition,Bedroom 1,Bedroom Flooring,"Subfloor preparation, installation of hardwood flooring, transition strips, and closet flooring.",387 SF,$6 per SF,0.75,,4056.75,95.0,2nd Floor,run_20250925_145344_0b984aa5,bedroom|floor|flooring|install,OK
Painting & Wall Coverings,Bedroom,Bedroom Painting,Painting of walls and ceiling.,155 SF,$10.3 per SF,0.75,,2790.9375,85.0,1st Floor,run_20250925_145009_527306c3,bedroom|paint,OK
Painting & Wall Coverings,Bedroom 1,Bedroom Painting,"Wall preparation, primer application, paint walls, paint ceiling, and closet painting.",432 SF,$10.3 per SF,0.75,,7788.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,bedroom|paint,OK
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, backsplash, electrical disconnection, plumbing disconnection, debris removal, and protection of adjacent areas.",1 UNIT,"$3,300 per UNIT",0.75,,5775.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,countertop|demolition|electrical|floor|flooring|kitchen|plumbing,OK
Demolition,Kitchen,Kitchen Demolition,"Full gut of kitchen including removal of cabinets, countertops, appliances, flooring, and backsplash.",205 SF,"$3,300 per UNIT",0.75,,5775.0,95.0,1st Floor,run_20250925_145009_527306c3,countertop|demolition|floor|flooring|kitchen,OK
Countertops,First Floor,New Kitchen,"Install new kitchen including cabinets, countertops, and appliances.",1 UNIT,"$43,690 per UNIT",0.75,,76457.5,95.0,Basement,run_20250925_145729_81f4e438,countertop|floor|install|kitchen,OK
Countertops,Kitchen,Kitchen Countertops,Fabrication and installation of quartz countertops.,45 SF,$97 per SF,0.75,,13763.75,95.0,1st Floor,run_20250925_145009_527306c3,countertop|install|kitchen,OK
Countertops,Kitchen,Kitchen Countertops,"Fabrication and installation of quartz countertops, including template creation, edge treatments, and sink cutouts.",45 SF,$97 per SF,0.75,,13763.75,95.0,2nd Floor,run_20250925_145344_0b984aa5,countertop|install|kitchen,OK
Doors,First Floor,Sliding Door Installation,Replace window with sliding door on front balcony.,1 UNIT,"$1,500 per UNIT",0.75,,2625.0,85.0,2nd Floor,run_20250925_145344_0b984aa5,door|floor|install|replace|window,OK
Doors,First Floor,Replace Window with Sliding Door,Replace the window in the front balcony with a sliding door.,1 UNIT,"$2,500 per UNIT",0.75,,4375.0,85.0,1st Floor,run_20250925_145009_527306c3,door|floor|replace|window,OK
Doors,First Floor,Replace Window with Sliding Door,Replace the window in the front balcony with a sliding door.,1 UNIT,"$2,500 per UNIT",0.75,,4375.0,85.0,Basement,run_20250925_145729_81f4e438,door|floor|replace|window,OK
Doors,Attic,Barn Door Installation,Install a barn door in the attic.,1 UNIT,"$1,320 per UNIT",0.75,,2310.0,85.0,1st Floor,run_20250925_145009_527306c3,door|install,OK
Doors,Attic,Barn Door Installation,Install barn door in attic.,1 UNIT,"$1,320 per UNIT",0.75,,2310.0,85.0,2nd Floor,run_20250925_145344_0b984aa5,door|install,OK
Doors,Attic,Barn Door Installation,Install barn door in the attic.,1 UNIT,"$1,320 per UNIT",0.75,,2310.0,85.0,Basement,run_20250925_145729_81f4e438,door|install,OK
Electrical,Whole House,Electrical Rewiring,Rewire the whole house for better electrical organization.,2046 SF,$17 per SF,0.75,,60817.5,90.0,2nd Floor,run_20250925_145344_0b984aa5,electrical,OK
Electrical,Kitchen,Kitchen Electrical,"Rewiring and installation of kitchen electrical systems including outlets, GFCI, and lighting.",205 SF,$17 per SF,0.75,,6118.75,90.0,1st Floor,run_20250925_145009_527306c3,electrical|install|kitchen,OK
Electrical,Living Room,Living Room Electrical,"Installation of outlets, switches, and light fixtures.",246 SF,$17 per SF,0.75,,7331.25,90.0,1st Floor,run_20250925_145009_527306c3,electrical|install|living,OK
Flooring,First Floor,Level Floors,Level the floors with the extension height of 5 inches.,1319 SF,$6 per SF,0.75,,13840.5,90.0,1st Floor,run_20250925_145009_527306c3,floor,Flooring quantity (1319.0 sf) seems high for first floor
Flooring,First Floor,Level Floors,Level floors with the extension height of 5 inches.,548.6 SF,$6 per SF,0.75,,5754.45,90.0,Basement,run_20250925_145729_81f4e438,floor,Flooring quantity (548.6 sf) seems high for first floor
Flooring,Attic,Floor Installation,Install new flooring in the attic.,500 SF,$6 per SF,0.75,,5250.0,85.0,1st Floor,run_20250925_145009_527306c3,floor|flooring|install,OK
Flooring,First Floor,Hardwood Floor Installation,Install new hardwood flooring throughout the first floor.,1000 SF,$6 per SF,0.75,,10500.0,85.0,2nd Floor,run_20250925_145344_0b984aa5,floor|flooring|install,Flooring quantity (1000.0 sf) seems high for first floor
Flooring,Second Floor,Floor Installation,Install new flooring throughout the second floor.,1000 SF,$6 per SF,0.75,,10500.0,85.0,2nd Floor,run_20250925_145344_0b984aa5,floor|flooring|install,Flooring quantity (1000.0 sf) seems high for second floor
Flooring,Attic,Floor Installation,Install new flooring in the attic.,548.6 SF,$6 per SF,0.75,,5754.45,90.0,Basement,run_20250925_145729_81f4e438,floor|flooring|install,Flooring quantity (548.6 sf) seems high for attic
Flooring,Kitchen,Kitchen Flooring,Installation of new hardwood flooring.,205 SF,$6 per SF,0.75,,2156.25,90.0,1st Floor,run_20250925_145009_527306c3,floor|flooring|install|kitchen,OK
Flooring,Living Room,Living Room Flooring,Installation of new hardwood flooring.,246 SF,$6 per SF,0.75,,2587.5,90.0,1st Floor,run_20250925_145009_527306c3,floor|flooring|install|living,OK
Demolition,Living Room,Living Room Flooring,"Subfloor preparation, installation of hardwood flooring, refinishing, trim installation, and transition strips.",200 SF,$6 per SF,0.75,,2100.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,floor|flooring|install|living|refinish|trim,OK
First Floor Renovation,First Floor,New Washer/Dryer Room,Install a new washer/dryer room.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,85.0,1st Floor,run_20250925_145009_527306c3,floor|install,OK
Flooring,Second Floor,Install New Floors,Install new floors throughout the second floor.,1000 SF,$6 per SF,0.75,,10500.0,85.0,1st Floor,run_20250925_145009_527306c3,floor|install,Flooring quantity (1000.0 sf) seems high for second floor
Heating and Cooling,General,HVAC System Installation,Install HVAC system for two floors.,1 UNIT,"$8,250 per UNIT",0.6,,13200.0,85.0,1st Floor,run_20250925_145009_527306c3,floor|install,OK
Heating and Cooling,Whole House,HVAC System Installation,Install HVAC system for two floors.,1 UNIT,"$16,500 per UNIT",0.6,,26400.0,85.0,2nd Floor,run_20250925_145344_0b984aa5,floor|install,OK
First Floor Renovation,First Floor,New Washer/Dryer Room,Install new washer and dryer room.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,85.0,Basement,run_20250925_145729_81f4e438,floor|install,OK
Flooring,Second Floor,Install New Floors,Install new floors throughout the second floor.,548.6 SF,$6 per SF,0.75,,5754.45,90.0,Basement,run_20250925_145729_81f4e438,floor|install,Flooring quantity (548.6 sf) seems high for second floor
Heating and Cooling,General,HVAC System Installation,Install HVAC system for two floors.,1 UNIT,"$16,500 per UNIT",0.6,,26400.0,85.0,Basement,run_20250925_145729_81f4e438,floor|install,OK
First Floor Renovation,First Floor,Remove Mud Room,Remove the mud room to expand the kitchen.,1 UNIT,"$2,500 per UNIT",0.75,,4375.0,85.0,1st Floor,run_20250925_145009_527306c3,floor|kitchen,OK
First Floor Renovation,First Floor,Remove Mud Room,Remove the mud room to expand kitchen area.,1 UNIT,"$2,500 per UNIT",0.75,,4375.0,85.0,Basement,run_20250925_145729_81f4e438,floor|kitchen,OK
Attic Renovation,Attic,Attic Refinishing,Refinish attic including walls and floors.,500 SF,$4 per SF,0.75,,3500.0,85.0,2nd Floor,run_20250925_145344_0b984aa5,floor|refinish,OK
Electrical,First Floor,Replace Lights,Replace lights throughout the first floor.,10 UNIT,$165 per UNIT,0.75,,2887.5,85.0,1st Floor,run_20250925_145009_527306c3,floor|replace,OK
Electrical,First Floor,Replace Lights,Replace lights throughout the first floor.,10 UNIT,$165 per UNIT,0.75,,2887.5,90.0,Basement,run_20250925_145729_81f4e438,floor|replace,OK
Attic Renovation,Attic,New Staircase Installation,Install a new staircase to the attic.,1 UNIT,"$1,200 per UNIT",0.75,,2100.0,85.0,1st Floor,run_20250925_145009_527306c3,install,OK
Electrical,Attic,Lights Installation,Install new lights in the attic.,5 UNIT,$165 per UNIT,0.75,,1443.75,85.0,1st Floor,run_20250925_145009_527306c3,install,OK
Attic Renovation,Attic,New Staircase Installation,Install new staircase to attic.,1 UNIT,"$3,500 per UNIT",0.75,,6125.0,85.0,2nd Floor,run_20250925_145344_0b984aa5,install,OK
Attic Renovation,Attic,New Staircase Installation,Install new staircase to the attic.,1 UNIT,"$1,200 per UNIT",0.75,,2100.0,85.0,Basement,run_20250925_145729_81f4e438,install,OK
Electrical,Attic,Lights Installation,Install lights in the attic.,5 UNIT,$165 per UNIT,0.75,,1443.75,90.0,Basement,run_20250925_145729_81f4e438,install,OK
Cabinetry & Storage,Kitchen,Kitchen Cabinets,Installation of semi-custom kitchen cabinets.,15 LF,$850 per LF,0.75,,22312.5,95.0,1st Floor,run_20250925_145009_527306c3,install|kitchen,OK
Cabinetry & Storage,Kitchen,Kitchen Cabinets,"Installation of standard kitchen cabinets up to 10 FT, including base and wall cabinets, crown molding, cabinet hardware, soft-close hinges, and drawer slides.",1 UNIT,"$7,600 per UNIT",0.75,,13300.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,install|kitchen,OK
Plumbing,Kitchen,Kitchen Plumbing,"Full gut plumbing for existing location with 1 sink, including rough plumbing, kitchen sink installation, garbage disposal, water supply lines, drain lines, and shut-off valves.",1 UNIT,"$3,850 per UNIT",0.75,,6737.5,95.0,2nd Floor,run_20250925_145344_0b984aa5,install|kitchen|plumbing,OK
Backsplash,Kitchen,Kitchen Backsplash,Installation of kitchen backsplash tiles.,10 LF,"$2,200 per 10 LF",0.8,,3960.0,90.0,1st Floor,run_20250925_145009_527306c3,install|kitchen|tile,OK
Backsplash,Kitchen,Kitchen Backsplash,"Tile preparation, installation, grout installation, tile sealing, and trim tiles for kitchen backsplash.",10 FT,"$2,200 per 10 FT",0.8,,3960.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,install|kitchen|tile|trim,OK
Plumbing,Kitchen,Kitchen Plumbing,Full gut plumbing for existing location with 1 sink.,1 UNIT,"$3,850 per UNIT",0.75,,6737.5,95.0,1st Floor,run_20250925_145009_527306c3,kitchen|plumbing,OK
Painting & Wall Coverings,Living Room,Living Room Painting,Painting of walls and ceiling.,462 SF,$10.3 per SF,0.75,,8323.125,85.0,1st Floor,run_20250925_145009_527306c3,living|paint,OK
Painting & Wall Coverings,Living Room,Living Room Painting,"Wall preparation, primer application, paint walls, paint ceiling, and touch-up work.",400 SF,$10.3 per SF,0.75,,7210.0,95.0,2nd Floor,run_20250925_145344_0b984aa5,living|paint,OK
Walls & Ceiling,General,Patch and Paint Walls,Patch and paint walls throughout the house.,3509 SF,$10.3 per SF,0.7,,61712.55,90.0,1st Floor,run_20250925_145009_527306c3,paint,Painting quantity (3509.0 sf) seems high for general
Walls & Ceiling,Whole House,Wall Patching and Painting,Patch and paint walls throughout the house.,3000 SF,$10.3 per SF,0.7,,52635.0,85.0,2nd Floor,run_20250925_145344_0b984aa5,paint,Painting quantity (3000.0 sf) seems high for whole house
Walls & Ceiling,General,Patch and Paint Walls,Patch walls and paint throughout the house.,548.6 SF,$10.3 per SF,0.7,,9630.21,90.0,Basement,run_20250925_145729_81f4e438,paint,OK
Attic Renovation,Attic,Refinish Attic,Refinish the attic with walls all around.,500 SF,$4 per SF,0.75,,3500.0,85.0,1st Floor,run_20250925_145009_527306c3,refinish,OK
Attic Renovation,Attic,Refinish Attic,Refinish the attic with walls all around.,548.6 SF,$4 per SF,0.75,,3830.05,85.0,Basement,run_20250925_145729_81f4e438,refinish,OK
Electrical,Garage,Lighting Replacement,Replace existing lighting fixtures in the garage.,3 UNIT,$165 per UNIT,0.75,,866.25,85.0,Basement,run_20250925_145729_81f4e438,replace,OK
